chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	15439159	15439371	0/4/1/5	34/20	0.63	15/0	1.00	5.16e-03	4.45e-02	brown1
chr2	130910328	130910588	0/4/1/5	47/1	0.98	7/3	0.70	1.53e-03	4.65e-03	brown1
chr2	133402661	133402761	6/6/6/6	100/35	0.74	95/6	0.94	6.09e-05	6.97e-03	brown1
chr2	219260418	219260605	0/6/2/8	33/54	0.38	29/3	0.91	3.36e-07	2.80e-03	brown1
chr3	38589902	38590322	0/6/1/7	72/2	0.97	2/13	0.13	2.35e-15	3.36e-06	brown1
chr4	3943984	3944407	3/7/3/7	38/78	0.33	34/7	0.83	3.00e-08	4.79e-03	brown1
chr4	5815125	5815213	1/5/1/5	66/11	0.86	5/7	0.42	4.10e-04	1.29e-02	brown1
chr4	8008936	8009220	3/3/8/8	36/6	0.86	134/2	0.99	4.58e-04	7.10e-03	brown1
chr6	29639787	29639979	4/5/4/5	83/6	0.93	49/15	0.77	3.07e-03	2.69e-02	brown1
chr6	29639787	29639979	4/5/4/5	83/6	0.93	49/15	0.77	3.07e-03	2.69e-02	brown1
chr6	29639787	29639979	4/5/4/5	83/6	0.93	49/15	0.77	3.07e-03	2.69e-02	brown1
chr6	29639787	29639979	4/5/4/5	83/6	0.93	49/15	0.77	3.07e-03	2.69e-02	brown1
chr6	31680545	31680764	0/1/4/5	10/3	0.77	46/1	0.98	7.36e-03	1.02e-02	brown1
chr6	160526396	160526733	1/1/5/5	11/8	0.58	86/2	0.98	6.32e-08	1.34e-04	brown1
chr7	2653341	2653421	1/5/1/5	59/4	0.94	6/5	0.55	2.51e-04	1.14e-02	brown1
chr7	130130970	130131268	0/1/8/9	7/8	0.47	2/102	0.02	8.95e-10	3.39e-05	brown1
chr8	1953244	1953433	3/3/5/5	17/15	0.53	15/80	0.16	2.58e-05	6.01e-03	brown1
chr8	22993185	22993561	0/3/2/5	78/2	0.98	20/4	0.83	9.04e-03	5.99e-03	brown1
chr8	72754070	72754118	3/5/3/5	55/5	0.92	23/13	0.64	7.36e-04	2.65e-02	brown1
chr8	86574405	86574621	1/5/1/5	71/3	0.96	8/3	0.73	5.03e-03	1.16e-02	brown1
chr8	86775464	86775509	3/5/3/5	72/20	0.78	38/1	0.97	6.23e-03	3.03e-04	brown1
chr8	86839553	86839583	2/5/2/5	104/4	0.96	20/5	0.80	3.46e-03	2.50e-02	brown1
chr9	37880047	37880287	2/5/3/6	83/2	0.98	29/9	0.76	1.28e-04	4.61e-03	brown1
chr9	89656826	89657168	4/8/4/8	129/6	0.96	54/18	0.75	1.08e-05	1.18e-03	brown1
chr9	99264546	99264757	2/2/5/5	38/0	1.00	105/27	0.80	2.37e-03	2.90e-02	brown1
chr9	132572074	132572196	1/3/3/5	29/9	0.76	38/1	0.97	5.85e-03	2.86e-02	brown1
chr9	137023447	137023540	1/6/1/6	122/3	0.98	4/6	0.40	2.12e-12	1.04e-04	brown1
chr10	8094463	8094511	5/5/5/5	40/85	0.32	10/58	0.15	8.80e-03	2.38e-02	brown1
chr10	8094463	8094511	5/5/5/5	40/85	0.32	10/58	0.15	8.80e-03	2.38e-02	brown1
chr10	115542010	115542397	1/8/1/8	129/11	0.92	10/6	0.62	3.12e-04	9.74e-04	brown1
chr11	2720074	2720279	6/7/8/9	63/27	0.70	37/68	0.35	1.29e-06	1.55e-07	brown1
chr11	2949747	2949855	7/7/11/11	1/98	0.01	39/162	0.19	1.05e-05	1.09e-03	brown1
chr11	67227345	67227531	2/5/2/5	112/38	0.75	19/19	0.50	3.13e-03	3.85e-02	brown1
chr11	69482260	69482532	4/6/4/6	104/0	1.00	53/6	0.90	9.21e-04	4.66e-05	brown1
chr12	53584001	53584152	1/6/1/6	47/52	0.47	13/1	0.93	1.45e-03	2.54e-02	brown1
chr12	56710225	56710552	1/5/1/5	6/77	0.07	7/7	0.50	1.39e-05	9.68e-03	brown1
chr13	23898715	23898864	4/4/5/5	66/33	0.67	31/40	0.44	2.80e-03	4.57e-02	brown1
chr13	112723380	112723450	1/5/1/5	4/78	0.05	5/9	0.36	2.54e-04	4.94e-02	brown1
